1.544289415562351362e-03 2.609006226383266385e-04 1.700000000000000122e-03 1.800000000000000000e+01
1.437985069958504399e-03 3.360385841034589974e-04 1.700000000000000122e-03 2.100000000000000000e+01
9.879695895007327335e-04 3.086026779337513429e-04 1.200000000000000112e-03 2.100000000000000000e+01
1.110160343412663333e-03 2.476277439474115880e-04 1.200000000000000112e-03 2.200000000000000000e+01
1.108596487502389039e-03 2.373833382577684482e-04 9.000000000000000838e-04 2.000000000000000000e+01
1.105244324576865186e-03 2.559687951353226826e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.045801801040037319e-03 2.935673690067998917e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.117670793603601749e-03 2.498172422370835248e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.115394253434984825e-03 2.520727093587842721e-04 1.300000000000000157e-03 2.200000000000000000e+01
1.089624965490879061e-03 2.671050101967844008e-04 1.300000000000000157e-03 2.100000000000000000e+01
9.674195662283855378e-04 3.191295920095872131e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.120604599800378290e-03 2.504067021262451663e-04 1.300000000000000157e-03 2.200000000000000000e+01
1.026352226634670789e-03 2.998902416945657050e-04 1.300000000000000157e-03 2.200000000000000000e+01
9.513049756843426023e-04 3.185654426395248973e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.006860413259996799e-03 3.036821340301250490e-04 1.300000000000000157e-03 2.200000000000000000e+01
1.055285735522096561e-03 2.889604642429241576e-04 1.200000000000000112e-03 2.000000000000000000e+01
1.110907005882477835e-03 2.475833272121008436e-04 1.200000000000000112e-03 2.100000000000000000e+01
1.154614665845526489e-03 2.299200788301800622e-04 1.300000000000000157e-03 2.200000000000000000e+01
1.102050372698507074e-03 2.589746761192551240e-04 1.300000000000000157e-03 2.100000000000000000e+01
1.149020208852999511e-03 2.223293703813789197e-04 1.200000000000000112e-03 2.000000000000000000e+01
7.381526656238110093e-04 2.840098594247614976e-04 5.000000000000000104e-04 1.900000000000000000e+01
1.034271273545838777e-03 3.111397070794593724e-04 1.200000000000000112e-03 2.100000000000000000e+01
1.097580114251736237e-03 2.619495156891015375e-04 1.300000000000000157e-03 2.200000000000000000e+01
